名称,営業日,住所,アクセス
風風亭 焼肉ふうふう亭 西武新宿駅前店,月～金、祝前日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都新宿区歌舞伎町１-26-6　灯ビル6Ｆ,JR新宿駅東口徒歩5分、西武新宿駅徒歩1分！分からない時はお気軽にお電話ください！
シュラスコ&肉寿司食べ放題 個室肉バル ミートキング 新宿駅前店,月～日、祝日、祝前日: 12:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区歌舞伎町１-6-14 第2ショーリビル4F,新宿駅徒歩4分（炙り肉寿司！食べ放題2480円より）
個室居酒屋 大吉 だいきち 新宿駅前店,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都新宿区西新宿１-18-5　甲新ビル5F,大小の個室完備！2名～60名迄OK★JR新宿駅南口　徒歩1分／地下鉄丸ノ内線新宿駅　徒歩1分／都営大江戸線新宿駅　徒歩1分
個室肉バル 肉王 新宿駅前店,月～日、祝日、祝前日: 12:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区歌舞伎町１-６-１４　第２ショーリビル４階,新宿駅徒歩4分（炙り肉寿司！食べ放題2480円より）
個室居酒屋 とっとり 新宿本店,月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区歌舞伎町１-6-3 東海苑ビル7F,新宿駅 東口 徒歩2分 / 西武新宿駅 徒歩2分 【全席個室／3時間飲み放題付コース3300円～】
新宿テラス 新宿東口駅前店,月～日、祝日、祝前日: 11:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都新宿区新宿３-23-12 パンドラビル5F,JR新宿駅東口徒歩1分/◎歌舞伎町ドンキホーテ方面に真っ直ぐ進み、交差点手前左側 1階が「ミネドラッグ」のビル5F
星夜の宴 新宿本店,月～日、祝日、祝前日: 16:30～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,東京都渋谷区代々木２-10-1サンセイビル２階,新宿駅西口徒歩３分　新宿駅南口徒歩3分　【各路線からアクセス良好 × 集合&待ち合わせも容易】
UMAKA 美味か 新宿南口店,月～日、祝日、祝前日: 11:00～20:00,東京都新宿区新宿4-1-13４F,3時間飲み放題付コース2980円～！ドア付個室席有。幹事無料クーポン有。ＪＲ新宿駅東口南口徒歩1分 ご宴会・飲み会
焼肉 道楽,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区歌舞伎町１‐27‐2　ピア新宿B1F,JR新宿駅徒歩4分・西武新宿駅徒歩1分(新宿駅からアクセス抜群！）
ハヌリ 新宿東口ゴジラ通り店,月～日、祝日、祝前日: 11:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区歌舞伎町１－１８－９－９F,ＪＲ新宿駅東口徒歩5分/西武新宿駅徒歩3分/ゴジラヘッドが特徴のTOHOシネマビルの通りWaMallビルの9Fです。
肉バル アモーレ新宿,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区新宿３-34-3 第31東京ビル B2F,東京都新宿区新宿3-34-3 第31東京ビルB2 新宿駅徒歩3分！
海鮮個室居酒屋 一兆 いっちょう 新宿駅前店,月～日、祝日、祝前日: 11:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）,東京都新宿区西新宿１-18-5　甲新ビルB1F,大小の個室完備！2名～60名迄OK★JR新宿駅南口　徒歩1分／地下鉄丸ノ内線新宿駅　徒歩1分／都営大江戸線新宿駅　徒歩1分
焼肉 萬和苑 新宿店,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区新宿４丁目１ー１３　田園新宿ビル６F,JR新宿駅 南口 徒歩1分 / 丸ノ内線 新宿三丁目駅 徒歩2分
北九州酒場 西新宿店,月～土、祝日、祝前日: 11:30～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）,東京都新宿区西新宿７-11-18　711ビルB1,ＪＲ新宿駅 西口徒歩3分 都営大江戸線新宿西口駅D4番出口 徒歩1分 地下鉄丸ノ内線新宿駅徒歩1分
プロント PRONTO 新宿駅東口店,月～日、祝日、祝前日: 07:30～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都新宿区新宿３-21-3,新宿駅東口より徒歩１分　新宿アルタ裏
タイレストラン バンタイ THAI RESTAURANT BAN-THAI,月～金、祝前日: 11:30～15:3017:00～20:00土、日、祝日: 11:30～20:00,東京都新宿区歌舞伎町１‐23‐14　第一メトロビル3F ,【西武新宿駅】南口より徒歩2分／東京メトロ【新宿駅】Ｂ12出口より徒歩2分／【新宿駅】西口（Ｄ３出口）より徒歩3分
レストラン はやしや,月～日、祝日、祝前日: 10:30～20:00 （料理L.O. 19:15 ドリンクL.O. 19:15）,東京都新宿区新宿３丁目２２－１２　新宿サンパークビル本館　５階,ＪＲ新宿駅を出て八百屋の通りをアルタ方面へ。三国一を右折。百円ショップを通り過ぎたゲームセンターの五階
土間土間 西武新宿駅前店,月～日、祝日、祝前日: 14:00～20:00,東京都新宿区歌舞伎町１－２５－３　西武新宿駅前ビル６Ｆ,西武新宿駅徒歩1分／JR新宿駅徒歩5分／地下鉄丸ノ内線新宿三丁目駅徒歩5分
水炊き 焼鳥 とりいちず酒場 歌舞伎町 西武新宿駅前店,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都新宿区歌舞伎町１丁目２６－６　灯ビル４Ｆ,ＪＲ 新宿 徒歩3分 西武新宿駅より30秒！プレモル中ジョッキ219円でコスパ抜群の駅近居酒屋♪
皇記 新宿店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:50 ドリンクL.O. 14:50）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区代々木２-13-8,都営新宿線 新宿駅 徒歩1分/京王新線 新宿駅 徒歩1分
ミステリアス MYSTERIOUS 新宿店,月～金、祝前日: 16:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:00）土、日、祝日: 15:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:00）,東京都新宿区歌舞伎町１‐１６‐３　新宿スクエアビルＢ１Ｆ,JR「新宿駅」東口徒歩5分/西武新宿線「西武新宿駅」徒歩3分/地下鉄丸ノ内線「新宿駅」徒歩3分
縁の宴 新宿東口店,月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都新宿区歌舞伎町１-６-３石塚ビル８Ｆ,新宿駅東口徒歩2分　桜通りトップ８F 厳選鍋が人気★個室も完備の本格居酒屋
Claudia2 クラウディア2,月～日、祝日、祝前日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都新宿区新宿３-１０-１０ 要会館1F2F,ＪＲ 新宿駅 徒歩6分／都営新宿線 新宿三丁目駅 徒歩1分／副都心線・丸ノ内線 新宿三丁目駅 徒歩2分
かあさん 新宿駅前店,月～土、祝前日: 16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区西新宿１-11-11　河野ビルＢ１  ,JR新宿駅西口徒歩3分／小田急線新宿駅西口徒歩3分／都営大江戸線新宿駅西口徒歩3分
バルダイニング イッツ,月、火、木: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:30）水、金～日、祝日、祝前日: 11:30～20:00 （料理L.O. 19:00 ドリンクL.O. 19:30）,東京都新宿区歌舞伎町２－４５－１　１Ｆ,東京都新宿区歌舞伎町2-45-1 1F　西武新宿駅徒歩1分
笑い蔵 waraizo 新宿東口店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都新宿区歌舞伎町１-15-12　大河原ビル4Ｆ,JR新宿東口徒歩3分/西武新宿駅2分（迷ったらお気軽にお電話下さい♪）
Miami Patio マイアミ パティオ 小田急エース店,月～日、祝日、祝前日: 10:00～14:5915:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:30）,東京都新宿区西新宿１西口地下街1号　小田急エース　北館　東 ,各線・地下鉄新宿駅西口徒歩2分(新宿駅西口地下街小田急エース内）
